title_vina,PharmFit_score,Params
HIT107560697.pdbqt,6.8368e-09,100
HIT104660743.pdbqt,6.69388e-09,100
HIT103377038.pdbqt,6.56144e-09,100
HIT101398995.pdbqt,6.3971e-09,100
HIT104345988.pdbqt,6.36553e-09,100
HIT106102261.pdbqt,6.29469e-09,100
HIT104463628.pdbqt,5.93915e-09,100
HIT101905103.pdbqt,5.64477e-09,100
HIT105846771.pdbqt,5.60721e-09,100
HIT105657776.pdbqt,5.46809e-09,100
HIT101811737.pdbqt,5.21116e-09,6.40906
HIT104680055.pdbqt,4.56808e-09,100
HIT104401710.pdbqt,4.41443e-09,5.2689
HIT105622861.pdbqt,3.20957e-09,7.5416
HIT107064106.pdbqt,3.14891e-09,100
HIT104506739.pdbqt,2.9828e-09,5.69776
HIT105860007.pdbqt,2.83637,100
HIT100531985.pdbqt,2.80566,100
HIT102285018.pdbqt,2.72138,100
HIT104280749.pdbqt,2.67804,100
HIT107574755.pdbqt,2.629,100
HIT101017546.pdbqt,2.62405,100
HIT102102029.pdbqt,2.62264,100
HIT100145035.pdbqt,2.60991,100
HIT104924434.pdbqt,2.60468,100
HIT105860906.pdbqt,2.59021,100
HIT102586514.pdbqt,2.56384,100
HIT102646540.pdbqt,2.51033,100
HIT103835085.pdbqt,2.48924,100
HIT100275866.pdbqt,2.48916,100
HIT103096437.pdbqt,2.46053,100
HIT103295522.pdbqt,2.4542,5.12309
HIT106255295.pdbqt,2.44563,100
HIT102990948.pdbqt,2.43185,100
HIT101436810.pdbqt,2.42305,100
HIT103596734.pdbqt,2.41793,100
HIT106239135.pdbqt,2.41615,100
HIT101001906.pdbqt,2.41162,100
HIT103508120.pdbqt,2.41125,100
HIT105371810.pdbqt,2.40011,100
HIT105823379.pdbqt,2.38328,100
HIT211744438.pdbqt,2.36133,100
HIT106637810.pdbqt,2.34889,7.60995
HIT103325322.pdbqt,2.3197,100
HIT102114702.pdbqt,2.31413,100
HIT106711308.pdbqt,2.31143,100
HIT104101215.pdbqt,2.295,4.54853
HIT102062362.pdbqt,2.27095,100
HIT104442900.pdbqt,2.24776,100
HIT105945322.pdbqt,2.24107,100
HIT104689529.pdbqt,2.23079,100
HIT105321158.pdbqt,2.21797,100
HIT101327148.pdbqt,2.20051,100
HIT106315584.pdbqt,2.19105,100
HIT104239852.pdbqt,2.18792,100
HIT104928591.pdbqt,2.18684,100
HIT102340045.pdbqt,2.17589,100
HIT102653229.pdbqt,2.16989,100
HIT105459650.pdbqt,2.15288,100
HIT105234159.pdbqt,2.14788,100
HIT211742362.pdbqt,2.13239,100
HIT102925372.pdbqt,2.11531,100
HIT105432716.pdbqt,2.08355,100
HIT104714523.pdbqt,2.07898,100
HIT103101895.pdbqt,2.05531,100
HIT106516675.pdbqt,2.04056,100
HIT103953559.pdbqt,2.02009,100
HIT102606339.pdbqt,2.00822,100
HIT104991387.pdbqt,1.97849,6.52214
HIT101219387.pdbqt,1.95631,100
HIT105100948.pdbqt,1.95309,100
HIT103440908.pdbqt,1.94961,100
HIT105777778.pdbqt,1.92401,100
HIT104099393.pdbqt,1.89111,100
HIT100609419.pdbqt,1.88906,100
HIT101859002.pdbqt,1.86785,100
HIT213607767.pdbqt,1.86527,100
HIT100365197.pdbqt,1.85732,100
HIT103726560.pdbqt,1.84052,100
HIT105105838.pdbqt,1.82877,100
HIT104731914.pdbqt,1.80851,100
HIT105165989.pdbqt,1.7872,100
HIT103241053.pdbqt,1.77724,100
HIT105394641.pdbqt,1.77539,100
HIT102583751.pdbqt,1.7596,100
HIT102734053.pdbqt,1.74841,100
HIT106257154.pdbqt,1.74447,100
HIT106929240.pdbqt,1.74296,100
HIT103213086.pdbqt,1.73591,100
HIT101619033.pdbqt,1.73279,2.92346
HIT105698644.pdbqt,1.73092,100
HIT102773377.pdbqt,1.7234,5.71298
HIT103535644.pdbqt,1.72284,6.94962
HIT105937896.pdbqt,1.72254,100
HIT100622090.pdbqt,1.72238,100
HIT103980688.pdbqt,1.71919,100
HIT101783025.pdbqt,1.69519,100
HIT104229086.pdbqt,1.69417,100
HIT211718932.pdbqt,1.69343,100
HIT102619820.pdbqt,1.69304,100
HIT104528772.pdbqt,1.6865,100
HIT104844210.pdbqt,1.68642,100
HIT100375149.pdbqt,1.68537,100
HIT102536549.pdbqt,1.68302,100
HIT104793855.pdbqt,1.67367,7.76892
HIT101322483.pdbqt,1.67136,100
HIT100362909.pdbqt,1.66846,100
HIT104247924.pdbqt,1.66609,7.74322
HIT101324313.pdbqt,1.66545,100
HIT105669779.pdbqt,1.64079,100
HIT103780262.pdbqt,1.64026,100
HIT101772639.pdbqt,1.62291,6.6092
HIT103659635.pdbqt,1.62219,100
HIT106130185.pdbqt,1.62141,3.3223
HIT100949418.pdbqt,1.61363,100
HIT102301726.pdbqt,1.61329,100
HIT103978313.pdbqt,1.61123,100
HIT100506072.pdbqt,1.61027,100
HIT106910442.pdbqt,1.60157,100
HIT107166512.pdbqt,1.60095,100
HIT100219217.pdbqt,1.59798,100
HIT105381637.pdbqt,1.59711,6.90427
HIT103585901.pdbqt,1.59691,100
HIT103839032.pdbqt,1.59495,100
HIT104978721.pdbqt,1.59355,100
HIT100156317.pdbqt,1.59156,100
HIT100838394.pdbqt,1.58809,100
HIT106223996.pdbqt,1.58191,100
HIT106244516.pdbqt,1.57957,100
HIT104104213.pdbqt,1.57558,100
HIT107303772.pdbqt,1.57384,100
HIT101043360.pdbqt,1.5709,100
HIT107005902.pdbqt,1.56822,100
HIT102244277.pdbqt,1.56673,3.50525
HIT104473526.pdbqt,1.56282,100
HIT106848619.pdbqt,1.55967,100
HIT105208507.pdbqt,1.55925,100
HIT103120348.pdbqt,1.55704,100
HIT107166396.pdbqt,1.55664,6.84993
HIT106465266.pdbqt,1.55188,100
HIT100449495.pdbqt,1.5511,100
HIT104352304.pdbqt,1.55098,100
HIT104142778.pdbqt,1.55074,100
HIT101744881.pdbqt,1.54611,100
HIT107290187.pdbqt,1.54391,100
HIT102234029.pdbqt,1.54173,100
HIT211456932.pdbqt,1.53935,100
HIT105607440.pdbqt,1.53868,100
HIT104658714.pdbqt,1.53801,100
HIT100422350.pdbqt,1.53669,100
HIT211347331.pdbqt,1.53508,100
HIT101867369.pdbqt,1.53381,100
HIT107430087.pdbqt,1.53301,100
HIT105975446.pdbqt,1.53157,100
HIT103397847.pdbqt,1.52985,100
HIT100936524.pdbqt,1.52953,100
HIT103781791.pdbqt,1.52896,100
HIT211503179.pdbqt,1.52836,100
HIT100601288.pdbqt,1.52835,100
HIT103110535.pdbqt,1.52826,100
HIT104870770.pdbqt,1.52507,5.49135
HIT104409354.pdbqt,1.52177,100
HIT107557654.pdbqt,1.52093,100
HIT103814719.pdbqt,1.51742,7.05777
HIT105433663.pdbqt,1.51588,7.30474
HIT101615729.pdbqt,1.51358,100
HIT105156907.pdbqt,1.51251,100
HIT105013192.pdbqt,1.51163,100
HIT100057403.pdbqt,1.51098,100
HIT105987501.pdbqt,1.50927,100
HIT105517682.pdbqt,1.50733,100
HIT102897246.pdbqt,1.50542,100
HIT100534073.pdbqt,1.50369,100
HIT107214393.pdbqt,1.50056,100
HIT104808754.pdbqt,1.50034,100
HIT105851894.pdbqt,1.49675,100
HIT103630906.pdbqt,1.49647,100
HIT107305441.pdbqt,1.49386,100
